index,t,AveExpr,lods,logFC,CI.L,CI.R,adj.P.Val,P.Value,GENE,EFFECTSIZE,P,SNP
ZIM2,0.8091112524917411,-4.074411059046422,-6.138462964914533,0.4313850618308006,-0.6221630554507849,1.484933179112386,0.49838560065278903,0.4197440650317512,ZIM2,0.4313850618308006,0.4197440650317512,0
LOC339290,-0.808082335611208,4.415240458059975,-7.144027378669975,-0.11465742681958346,-0.3950355290806551,0.16572067544148816,0.4990514711462464,0.42033422727126335,LOC339290,-0.11465742681958346,0.42033422727126335,0
HES2,0.8080248340431065,1.0928095301787155,-6.634934945832264,0.3439494601452653,-0.49718889664250565,1.185087816933036,0.4990557864634741,0.420367223321619,HES2,0.3439494601452653,0.420367223321619,0
CACHD1,-0.8076517271119275,3.526382353966345,-7.009321285037868,-0.18535029532887393,-0.6388392048977384,0.2681386142399905,0.4992751346548582,0.4205813601216838,CACHD1,-0.18535029532887393,0.4205813601216838,0
PGM2L1,-0.8073355020560452,4.405489249059557,-7.1500070620769804,-0.1701585299293562,-0.5866414429883502,0.24632438312963784,0.4994557605638423,0.42076290142458417,PGM2L1,-0.1701585299293562,0.42076290142458417,0
DEGS1,-0.8070695835798096,6.754662450038112,-7.356557424070858,-0.1483553100218309,-0.5115919331768766,0.21488131313321485,0.49960212453091046,0.4209155982398446,DEGS1,-0.1483553100218309,0.4209155982398446,0
ABCB10,-0.806965426336278,4.800621886163937,-7.2113998937918975,-0.0942129464520427,-0.3249159094711066,0.1364900165670212,0.4996382347147778,0.42097541680004313,ABCB10,-0.0942129464520427,0.42097541680004313,0
EPS8L2,-0.806798502128884,6.021198131001175,-7.333598069072818,-0.1603987590075704,-0.5532547992429253,0.23245728122778458,0.49971713286377983,0.4210712935738692,EPS8L2,-0.1603987590075704,0.4210712935738692,0
CDK12,0.8062878875324192,6.29949982422398,-7.338023741903654,0.10579758616940182,-0.15349084365525129,0.36508601599405494,0.5000303762191408,0.4213646572093166,CDK12,0.10579758616940182,0.4213646572093166,0
SYT15,-0.8059506464323196,1.2826075204815541,-6.615822796944347,-0.22133195175429865,-0.7639986611879214,0.32133475767932407,0.5002254583688276,0.4215584788889266,SYT15,-0.22133195175429865,0.4215584788889266,0
UBQLN1,0.8054765135998297,7.523220947915252,-7.362518362030207,0.07209776174621041,-0.10477722285253757,0.2489727463449584,0.5005139697731082,0.42183106530562897,UBQLN1,0.07209776174621041,0.42183106530562897,0
FUT2,0.8053249236727705,2.756107786050154,-6.850614530512324,0.2836220070507949,-0.4123091816170581,0.9795531957186479,0.5005824587561384,0.4219182387562769,FUT2,0.2836220070507949,0.4219182387562769,0
INVS,0.8051635114269367,3.43083016824408,-6.987792505593086,0.08360387612904141,-0.12157839950717378,0.28878615176525657,0.5006556926563325,0.42201107236606605,INVS,0.08360387612904141,0.42201107236606605,0
C1QL1,0.805115173731391,-0.8650098538604423,-6.377874986636995,0.3344957936193218,-0.48647964297887203,1.1554712302175156,0.5006556926563325,0.42203887535329365,C1QL1,0.3344957936193218,0.42203887535329365,0
SLC4A2,-0.8050338629589302,6.64857229529184,-7.354388096966064,-0.0962123465193443,-0.33237660542136305,0.13995191238267443,0.5006762321488583,0.42208564631764367,SLC4A2,-0.0962123465193443,0.42208564631764367,0
SDHAP2,-0.8048961732439232,2.6560053937429124,-6.8367780844709385,-0.1291719086972325,-0.4462934390475385,0.1879496216530735,0.5007352425635911,0.42216485414698246,SDHAP2,-0.1291719086972325,0.42216485414698246,0
BPHL,-0.8042423471611257,4.600825393967786,-7.1945656566156,-0.09469095999983246,-0.32734955269712385,0.13796763269745893,0.5011465364925507,0.4225410963390448,BPHL,-0.09469095999983246,0.4225410963390448,0
SPN,0.803918276403403,3.069409797216645,-6.883529055479394,0.23852827308200375,-0.34777926262592984,0.8248358087899373,0.5013328187621146,0.42272765538028034,SPN,0.23852827308200375,0.42272765538028034,0
DCTN5,-0.8032516314279188,6.39910113902312,-7.348510024101506,-0.07187818905034504,-0.24870292761221174,0.10494654951152166,0.501753122293795,0.42311157862193116,DCTN5,-0.07187818905034504,0.42311157862193116,0
LAIR1,-0.8026079117199303,4.388754499978902,-7.122177298073824,-0.16730560448606013,-0.5792177211626623,0.24460651219054208,0.5021579435645706,0.4234824947375746,LAIR1,-0.16730560448606013,0.4234824947375746,0
ZNF648,0.802326300068119,-1.9326462865352072,-6.294097676358104,0.3317789730103593,-0.4853589083937978,1.1489168544145163,0.5023153845696067,0.42364482189829455,ZNF648,0.3317789730103593,0.42364482189829455,0
C19orf38,-0.8018642453749997,-0.12032016111278529,-6.449271366741432,-0.1733620791128192,-0.600581288601236,0.2538571303755976,0.5025962156288155,0.4239112400573454,C19orf38,-0.1733620791128192,0.4239112400573454,0
LACE1,-0.8015946053880701,1.4602012014516337,-6.652433526600083,-0.10067514407406364,-0.34885412005426597,0.14750383190613867,0.5027455323704166,0.4240667586982799,LACE1,-0.10067514407406364,0.4240667586982799,0
